Team,Year,Games played,Total points,Goals z score,Goals Openplay z score,Goals from Inside Box z score,Home Goals z score,Away Goals z score,Goal Assists z score,Key Passes (Attempt Assists) z score,Total Shots z score,Shots On Target ( inc goals ) z score,Goal Conversion z score,Possession Percentage z score,Total Passes z score,Open Play Passes z score,Successful Open Play Passes z score,Successful Passes Opposition Half z score,Passing Accuracy z score,Passing % Opp Half z score,Corners Won z score,Successful Crosses open play z score,Clean Sheets z score,Blocked Shots z score,Number of Defensive Actions z score,Duels won z score,Shots On Conceded Inside Box z score,Goals Conceded Inside Box z score,Goals Conceded z score,Total losses z score,Red cards z score,Total Red Cards z score,Straight Red Cards z score,Penalty conceded z score,Penalty Goals Conceded z score,Own Goals Conceded z score,GK Successful Distribution z score,GK Unsuccessful Distribution z score
Forge,2023,30,42,0.6083021013779917,,0.3543911960111335,0.6945994201195245,0.15811388300841897,0.42305705611332467,1.553563596166769,1.6547548734766109,1.4213163438248482,-0.45708334617580687,0.7127864449672372,0.9240489527622491,0.9090140353933531,0.8926378121238279,1.2838865372172785,0.825433006631316,1.2462753258618424,1.2471492401068478,1.4342500069685014,1.4849242404917498,0.9153917423330764,,-0.81285383015466,-1.123540345709962,-0.6454440510720123,-0.605305158999973,-0.739509972887452,-0.4641683544863142,-0.6129713330865563,-0.6269623282193989,0.5040161287741853,0.3469657515444188,-0.6454972243679028,1.373994268015133,-1.4472783218497647
Forge,2024,31,50,1.3608276348795434,,1.2455442055977617,1.6443864424182746,0.23145502494313785,1.3853889802907564,0.6347690012043149,1.030436503600279,1.3458475888762726,0.3689826323962309,0.9643813802334015,1.2341969165207543,1.1940363190730434,1.248588130480988,1.5491063976038406,1.316531529976759,1.4809016584047803,1.2963184731200046,0.13112712588974412,1.3066623853647683,0.21252100013638103,,-0.4797634117434072,0.2373612050351029,-0.407086842049331,-0.5530146858072095,-0.5384686189633036,-0.050507627227610534,-0.2485479064004801,-0.5039526306789694,-0.06630976492661632,-0.06630976492661632,,1.9738361285397128,-0.8855383008045337
Forge,2025,30,58,0.7977240352174657,0.7877638959228566,1.080315566826484,0.7048265851382035,0.6869139199280025,0.23389684082830953,0.32173906767591604,0.20610730665717047,0.3514390377832688,1.5826705365852336,0.21663525185385657,0.4013033198274305,0.4080431215582798,0.4088049110526156,0.9577371151082165,0.7316507204670287,1.034258909440962,0.4741230864999045,0.5866834527494869,1.379967515859553,-0.06781343677589169,0.5295311704171113,-0.3019576755166946,-1.3064051448232186,-1.4088254825049469,-1.36111692965288,-1.4083205060034898,-0.7905694150420948,-1.1246369913751453,,-0.9192388155425117,-0.9192388155425117,,1.1169646165257054,-1.478406580014826
HFX Wanderers,2022,28,29,-1.4884273288275527,,-1.1915124786400546,-1.2880412179784737,-1.151086443322134,-1.9829270435925446,0.3952333017457444,-0.24554690016824146,-1.0844700405346404,-1.4739271224834296,0.17521916101261562,-0.014203319171982871,0.015138470884158955,-0.026632395889535084,-0.1021297556023252,-0.025990875844557938,0.25903544172742804,-0.8491348791084105,-1.342987414713344,0.10801234497346433,-1.2655511519926246,,0.09741003004274225,-0.6718004089561752,0.1800205749557739,0.23671603823699966,1.194681400402931,-0.2820380374088831,-0.2820380374088831,0.1950473744013735,-0.5371105458093506,-1.0,,0.368480865452025,-0.32712503470050897
HFX Wanderers,2023,29,42,0.13352972957077866,,-0.032217381455557595,1.031374896541112,-0.7905694150420948,0.7050950935222078,0.15710193669102157,-0.4234749031047671,-0.2258166153740413,0.6554187632196744,0.47519096331149147,0.7195267755117841,0.7105561333355928,0.7447040607273094,0.4783366068473389,0.8530460582271041,0.8340352947443432,-0.8011488496050612,0.17613596576806156,-0.21213203435596426,-0.006780679572837603,,-0.189665893702754,-0.2247080691419924,-1.2529208050221416,-0.7615129419677079,-0.739509972887452,-0.4641683544863142,-0.6129713330865563,-0.6269623282193989,0.05600179208602059,-0.13878630061776742,1.2909944487358054,0.9886674622249112,-0.7054239875377571
HFX Wanderers,2024,28,30,0.0,,0.5128711434814314,0.3999858913990398,-0.6943650748294136,-0.19791271147010805,0.5128933529730865,0.4262014857823143,0.43481229794464193,-0.4714778080618489,0.3709159154743852,0.09937736008288074,0.09779970464811065,0.15536031798104136,0.48791178131714963,0.6226315712479269,0.8709252984404489,-0.41022736491139383,-1.180144133007697,-1.2165477380982326,0.21252100013638103,,0.7841450324869585,0.4408136664937625,0.7327563156887958,1.106029371614419,0.6102644348250774,1.969797461876811,1.9262462746037203,2.141798680385621,-0.06630976492661632,-0.06630976492661632,1.5811388300841895,-0.6051589276611726,-1.2827891273336702
HFX Wanderers,2025,29,39,-0.09971550440218321,-0.3303526015160366,0.01333722922008005,0.12650733579403653,-0.4121483519568015,0.08996032339550367,0.461408740465461,0.37308031458196683,-0.07454767468129944,-0.8516983556336435,-0.12097812765864767,-0.23626174494096921,-0.20061734552557575,-0.2920415477589684,0.6779868907731684,-0.6259856273580093,0.1741126509418582,1.253503502664131,0.4210316543261023,0.4404151646360276,-0.21577002610510992,-1.0226823367597644,1.3985981865989863,-0.866352885514345,-0.4630405432009266,-0.5731018651170021,0.20118864371478426,-1.4230249470757705,,,-0.35355339059327373,-0.35355339059327373,,-0.01982777425785276,-0.2621288262437635
Pacific,2022,30,46,0.07517309741553296,,0.17021606837715067,0.7280232971182677,-0.45609085490122286,0.08621421928663238,-0.42073222443901825,-0.9598651552031258,0.3036516113496993,0.5157435934799925,0.5256574830378469,0.8748551765103791,0.9019598620335997,0.8751390369191487,0.23349562866205542,0.5310965762199585,-0.009380113488736687,-0.8137542591455601,-0.04630991085218428,0.10801234497346433,0.42185038399754154,,1.17108502784719,0.6334118141586794,-0.3960452649027026,-0.05462677805469223,-0.7168088402417586,-0.8461141122266493,-0.8461141122266493,0.1950473744013735,-0.14648469431164107,-0.5,-0.6454972243679028,-0.7599917849948016,0.07756572987744026
Pacific,2023,31,40,0.8456882872815982,,0.9987388251222854,-0.3157270091452384,1.4230249470757705,1.4101901870444156,0.9391204659974401,0.9999701493482315,1.2087830587669268,0.3408177568742305,0.0,0.534733425648824,0.555531778866231,0.5030094809808849,0.5246325798571055,0.2140011498673797,0.14332848764019115,1.1810751081806572,0.07548684247202639,0.35355339059327373,1.7290732910735889,,1.9237540646993618,0.1947469932563934,0.11390189136564924,-0.13668181009676808,-0.1479019945774904,0.06630976492661632,-0.0766214166358195,,0.05600179208602059,-0.13878630061776742,-0.6454972243679028,-0.8974058503272271,0.0894199420822509
Pacific,2024,29,34,-1.3608276348795434,,-0.9524749807512296,-0.844414659620195,-1.620185174601965,-1.7812144032309725,0.10664119220232492,-0.32909228649014144,-0.26916951777525455,-1.3775351609459252,-0.8160150140436474,-0.6074653958537859,-0.6083379941419966,-0.7118888501828452,-0.4997988900535586,-0.9286989097318282,-0.5672517226823449,-0.2789546081397478,-0.9178898812282088,0.9462037962986253,-0.07084033337879367,,1.6422113157259224,-0.5086311536466491,-0.7327563156887958,-0.5530146858072095,0.6102644348250774,0.7576144084141581,0.6213697660012,0.3779644730092272,-1.1272660037524773,-1.1272660037524773,-0.7905694150420948,-0.26581747289789825,0.008276058886023679
