Season,Date,Hometeam,Awayteam,Homescore,Awayscore,Status,Venue,Result,Home_Prior,Away_Prior
2022,2022-09-10T21:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium,0,58.056646379829616,22.3002213653662
2022,2022-09-11T20:00:00Z,Pacific,Atlético Ottawa,1,1,FINISHED,Starlight Stadium,1,7.804509356352445,-3.3060322952750765
2022,2022-09-16T23:30:00Z,Inter Toronto,HFX Wanderers,0,0,FINISHED,York Lions Stadium,1,-6.212942346816782,-18.65030609587324
2022,2022-09-17T20:00:00Z,Edmonton,Cavalry,0,1,FINISHED,Clarke Field,2,-48.740166522180374,22.3002213653662
2022,2022-09-18T20:00:00Z,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium,1,-8.092312512876008,-3.3060322952750765
2022,2022-09-19T00:00:00Z,Pacific,Forge,1,1,FINISHED,Starlight Stadium,1,7.804509356352445,58.056646379829616
2022,2022-09-23T23:30:00Z,Inter Toronto,Valour,3,1,FINISHED,York Lions Stadium,0,-6.212942346816782,-8.092312512876008
2022,2022-09-24T21:30:00Z,Cavalry,Atlético Ottawa,1,3,FINISHED,ATCO Field,2,22.3002213653662,-3.3060322952750765
2022,2022-09-25T21:00:00Z,Edmonton,Forge,1,1,FINISHED,Clarke Field,1,-48.740166522180374,58.056646379829616
2022,2022-09-27T22:00:00Z,HFX Wanderers,Pacific,0,2,FINISHED,Wanderers Grounds,2,-18.65030609587324,7.804509356352445
2022,2022-10-01T02:00:00Z,Pacific,Edmonton,1,0,FINISHED,Starlight Stadium,0,7.804509356352445,-48.740166522180374
2022,2022-10-01T18:00:00Z,HFX Wanderers,Atlético Ottawa,1,2,FINISHED,Wanderers Grounds,2,-18.65030609587324,-3.3060322952750765
2022,2022-10-01T21:00:00Z,Forge,Inter Toronto,2,0,FINISHED,Hamilton Stadium,0,58.056646379829616,-6.212942346816782
2022,2022-10-02T19:30:00Z,Cavalry,Valour,2,1,FINISHED,ATCO Field,0,22.3002213653662,-8.092312512876008
2022,2022-10-05T23:00:00Z,Forge,Pacific,0,1,FINISHED,Hamilton Stadium,2,58.056646379829616,7.804509356352445
2022,2022-10-08T19:00:00Z,Edmonton,Valour,3,1,FINISHED,Clarke Field,0,-48.740166522180374,-8.092312512876008
2022,2022-10-08T22:00:00Z,Cavalry,Pacific,1,0,FINISHED,ATCO Field,0,22.3002213653662,7.804509356352445
2022,2022-10-09T17:00:00Z,Forge,HFX Wanderers,1,0,FINISHED,Hamilton Stadium,0,58.056646379829616,-18.65030609587324
2022,2022-10-09T22:00:00Z,Atlético Ottawa,Inter Toronto,2,2,FINISHED,TD Place Stadium,1,-3.3060322952750765,-6.212942346816782
2022,2022-10-15T20:00:00Z,Cavalry,Forge,1,1,FINISHED,ATCO Field,1,22.3002213653662,58.056646379829616
2022,2022-10-15T23:00:00Z,Pacific,Atlético Ottawa,0,2,FINISHED,Starlight Stadium,2,7.804509356352445,-3.3060322952750765
2022,2022-10-23T18:00:00Z,Atlético Ottawa,Pacific,1,1,FINISHED,TD Place Stadium,1,-3.3060322952750765,7.804509356352445
2022,2022-10-23T21:00:00Z,Forge,Cavalry,2,1,FINISHED,Hamilton Stadium,0,58.056646379829616,22.3002213653662
2022,2022-10-30T22:00:00Z,Atlético Ottawa,Forge,0,2,FINISHED,TD Place Stadium,2,-3.3060322952750765,58.056646379829616
2023,2023-04-15T17:00:00Z,Atlético Ottawa,HFX Wanderers,1,1,FINISHED,TD Place Stadium,1,-29.05490347928361,5.848487430554887
2023,2023-04-15T20:00:00Z,Forge,Cavalry,2,2,FINISHED,Hamilton Stadium,1,26.148907774458785,34.32551483663788
2023,2023-04-15T23:00:00Z,Pacific,Vancouver FC,1,0,FINISHED,Starlight Stadium,0,26.9346063904175,-54.84330108091755
2023,2023-04-16T18:00:00Z,Inter Toronto,Valour,0,2,FINISHED,York Lions Stadium,2,-0.8861592625751535,-8.9261670237078
2023,2023-04-22T17:00:00Z,Inter Toronto,Vancouver FC,1,2,FINISHED,York Lions Stadium,2,-0.8861592625751535,-54.84330108091755
2023,2023-04-22T20:00:00Z,Forge,HFX Wanderers,1,1,FINISHED,Hamilton Stadium,1,26.148907774458785,5.848487430554887
2023,2023-04-22T23:00:00Z,Valour,Atlético Ottawa,1,1,FINISHED,Princess Auto Stadium,1,-8.9261670237078,-29.05490347928361
2023,2023-04-23T20:00:00Z,Pacific,Cavalry,1,1,FINISHED,Starlight Stadium,1,26.9346063904175,34.32551483663788
2023,2023-04-29T18:00:00Z,HFX Wanderers,Vancouver FC,1,1,FINISHED,Wanderers Grounds,1,5.848487430554887,-54.84330108091755
2023,2023-04-29T21:00:00Z,Atlético Ottawa,Inter Toronto,0,1,FINISHED,TD Place Stadium,2,-29.05490347928361,-0.8861592625751535
2023,2023-04-30T21:00:00Z,Cavalry,Valour,1,1,FINISHED,ATCO Field,1,34.32551483663788,-8.9261670237078
2023,2023-05-01T00:00:00Z,Pacific,Forge,0,1,FINISHED,Starlight Stadium,2,26.9346063904175,26.148907774458785
2023,2023-05-05T23:30:00Z,Inter Toronto,Forge,0,1,FINISHED,York Lions Stadium,2,-0.8861592625751535,26.148907774458785
2023,2023-05-06T20:00:00Z,Valour,HFX Wanderers,0,0,FINISHED,Princess Auto Stadium,1,-8.9261670237078,5.848487430554887
2023,2023-05-06T23:00:00Z,Atlético Ottawa,Pacific,1,4,FINISHED,TD Place Stadium,2,-29.05490347928361,26.9346063904175
2023,2023-05-07T23:00:00Z,Vancouver FC,Cavalry,1,1,FINISHED,Willoughby Community Park at the Langley Events Centre,1,-54.84330108091755,34.32551483663788
2023,2023-05-13T20:00:00Z,Forge,Valour,3,2,FINISHED,Hamilton Stadium,0,26.148907774458785,-8.9261670237078
2023,2023-05-13T23:00:00Z,Cavalry,HFX Wanderers,2,2,FINISHED,ATCO Field,1,34.32551483663788,5.848487430554887
2023,2023-05-14T01:30:00Z,Vancouver FC,Atlético Ottawa,0,5,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-54.84330108091755,-29.05490347928361
2023,2023-05-14T22:00:00Z,Pacific,Inter Toronto,4,1,FINISHED,Starlight Stadium,0,26.9346063904175,-0.8861592625751535
2023,2023-05-19T23:00:00Z,Forge,Vancouver FC,0,0,FINISHED,Hamilton Stadium,1,26.148907774458785,-54.84330108091755
2023,2023-05-20T18:00:00Z,HFX Wanderers,Inter Toronto,0,3,FINISHED,Wanderers Grounds,2,5.848487430554887,-0.8861592625751535
2023,2023-05-20T21:00:00Z,Valour,Pacific,1,1,FINISHED,Princess Auto Stadium,1,-8.9261670237078,26.9346063904175
2023,2023-05-21T23:00:00Z,Cavalry,Atlético Ottawa,2,0,FINISHED,ATCO Field,0,34.32551483663788,-29.05490347928361
2023,2023-05-27T18:00:00Z,Atlético Ottawa,Forge,0,1,FINISHED,TD Place Stadium,2,-29.05490347928361,26.148907774458785
2023,2023-05-28T02:00:00Z,Pacific,HFX Wanderers,1,1,FINISHED,Starlight Stadium,1,26.9346063904175,5.848487430554887
2023,2023-05-28T21:00:00Z,Inter Toronto,Cavalry,1,0,FINISHED,York Lions Stadium,0,-0.8861592625751535,34.32551483663788
2023,2023-05-29T00:00:00Z,Vancouver FC,Valour,0,0,FINISHED,Willoughby Community Park at the Langley Events Centre,1,-54.84330108091755,-8.9261670237078
2023,2023-05-31T23:00:00Z,Forge,Inter Toronto,1,2,FINISHED,Hamilton Stadium,2,26.148907774458785,-0.8861592625751535
2023,2023-06-03T02:00:00Z,Vancouver FC,Pacific,3,6,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-54.84330108091755,26.9346063904175
2023,2023-06-03T20:00:00Z,Cavalry,Forge,1,1,FINISHED,ATCO Field,1,34.32551483663788,26.148907774458785
2023,2023-06-03T23:00:00Z,Atlético Ottawa,HFX Wanderers,2,0,FINISHED,TD Place Stadium,0,-29.05490347928361,5.848487430554887
2023,2023-06-04T19:00:00Z,Valour,Inter Toronto,1,1,FINISHED,Princess Auto Stadium,1,-8.9261670237078,-0.8861592625751535
2023,2023-06-09T23:30:00Z,Inter Toronto,Atlético Ottawa,2,1,FINISHED,York Lions Stadium,0,-0.8861592625751535,-29.05490347928361
2023,2023-06-10T17:00:00Z,HFX Wanderers,Valour,2,0,FINISHED,Wanderers Grounds,0,5.848487430554887,-8.9261670237078
2023,2023-06-10T23:00:00Z,Forge,Pacific,0,1,FINISHED,Hamilton Stadium,2,26.148907774458785,26.9346063904175
2023,2023-06-11T21:00:00Z,Cavalry,Vancouver FC,3,1,FINISHED,ATCO Field,0,34.32551483663788,-54.84330108091755
2023,2023-06-17T00:00:00Z,Valour,Forge,2,0,FINISHED,Princess Auto Stadium,0,-8.9261670237078,26.148907774458785
2023,2023-06-17T18:00:00Z,Atlético Ottawa,Vancouver FC,1,0,FINISHED,TD Place Stadium,0,-29.05490347928361,-54.84330108091755
2023,2023-06-17T18:00:00Z,HFX Wanderers,Cavalry,3,1,FINISHED,Wanderers Grounds,0,5.848487430554887,34.32551483663788
2023,2023-06-18T20:00:00Z,Pacific,Inter Toronto,1,0,FINISHED,Starlight Stadium,0,26.9346063904175,-0.8861592625751535
2023,2023-06-21T02:00:00Z,Vancouver FC,Forge,2,0,FINISHED,Willoughby Community Park at the Langley Events Centre,0,-54.84330108091755,26.148907774458785
2023,2023-06-21T23:00:00Z,Inter Toronto,HFX Wanderers,2,2,FINISHED,York Lions Stadium,1,-0.8861592625751535,5.848487430554887
