match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok,HomeScore,AwayScore,home_form_pts,away_form_pts,home_form_gd,away_form_gd,diff_form_pts,diff_form_gd
2022_2022-05-28_Pacific_vs_Valour,2022,2022-05-28 23:00:00+00:00,Pacific,Valour,300.77250000000095,300.77250000000095,300.77250000000095,16638.3063,16337.5338,True,home,Valour,16638.3063,16638.3063,1.0,True,away,Pacific,16337.5338,16337.5338,1.0,True,2,2,1.6,1.4,0.0,0.8,0.20000000000000018,-0.8
2022_2022-05-29_York_United_vs_Cavalry,2022,2022-05-29 18:00:00+00:00,York,Cavalry,0.0,0.0,0.0,55.0,55.0,True,home,Cavalry,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,0,1,1.6,2.0,0.4,0.8,-0.3999999999999999,-0.4
2022_2022-06-01_Edmonton_vs_Forge,2022,2022-06-01 01:00:00+00:00,Edmonton,Forge,71556.92079999999,71556.92079999999,71556.92079999999,88044.1923,16487.2715,True,home,Forge,88044.1923,88044.1923,1.0,True,away,Edmonton,16487.2715,16487.2715,1.0,True,3,4,0.2,1.6,-1.4,1.2,-1.4000000000000001,-2.5999999999999996
2022_2022-06-02_Valour_vs_Atlético_Ottawa,2022,2022-06-02 00:00:00+00:00,Valour,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Valour,55.0,55.0,1.0,True,0,1,1.6,1.0,1.0,-1.0,0.6000000000000001,2.0
2022_2022-06-04_HFX_Wanderers_vs_York_United,2022,2022-06-04 18:00:00+00:00,Wanderers,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,1,0,1.0,1.0,-0.6,-0.2,0.0,-0.39999999999999997
2022_2022-06-05_Atlético_Ottawa_vs_Pacific,2022,2022-06-05 17:00:00+00:00,Atlético,Pacific,0.0,0.0,0.0,55.0,55.0,True,home,Pacific,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,2,1,1.6,1.6,0.2,0.0,0.0,0.2
2022_2022-06-05_Valour_vs_Edmonton,2022,2022-06-05 20:00:00+00:00,Valour,Edmonton,-67922.5932,-67922.5932,-67922.5932,16361.6244,84284.2176,True,home,Edmonton,16361.6244,16361.6244,1.0,True,away,Valour,84284.2176,84284.2176,1.0,True,1,1,1.0,0.0,-0.2,-1.6,1.0,1.4000000000000001
2022_2022-06-11_Cavalry_vs_HFX_Wanderers,2022,2022-06-11 19:30:00+00:00,Cavalry,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Cavalry,55.0,55.0,1.0,True,1,0,2.6,1.6,1.4,-0.2,1.0,1.5999999999999999
2022_2022-06-12_Forge_vs_Pacific,2022,2022-06-12 20:00:00+00:00,Forge,Pacific,-46.63409999999931,-46.63409999999931,-46.63409999999931,16567.5816,16614.2157,True,home,Pacific,16567.5816,16567.5816,1.0,True,away,Forge,16614.2157,16614.2157,1.0,True,3,0,2.0,1.6,1.4,0.2,0.3999999999999999,1.2
2022_2022-06-14_Atlético_Ottawa_vs_York_United,2022,2022-06-14 23:00:00+00:00,Atlético,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,0,0,2.0,0.8,0.4,-0.4,1.2,0.8
2022_2022-06-15_Edmonton_vs_HFX_Wanderers,2022,2022-06-15 02:00:00+00:00,Edmonton,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Edmonton,55.0,55.0,1.0,True,1,2,0.2,1.0,-1.2,-0.8,-0.8,-0.3999999999999999
2022_2022-06-16_Valour_vs_Cavalry,2022,2022-06-16 00:00:00+00:00,Valour,Cavalry,-504.9086000000025,-504.9086000000025,-504.9086000000025,16298.0261,16802.9347,True,home,Cavalry,16298.0261,16298.0261,1.0,True,away,Valour,16802.9347,16802.9347,1.0,True,2,4,1.0,2.6,-0.2,1.2,-1.6,-1.4
2022_2022-06-18_York_United_vs_Pacific,2022,2022-06-18 20:00:00+00:00,York,Pacific,0.0,0.0,0.0,55.0,55.0,True,home,Pacific,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,0,0,0.4,1.0,-0.6,-0.6,-0.6,0.0
2022_2022-06-19_HFX_Wanderers_vs_Forge,2022,2022-06-19 18:00:00+00:00,Wanderers,Forge,0.0,0.0,0.0,55.0,55.0,True,home,Forge,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,0,3,1.4,2.0,-0.6,1.4,-0.6000000000000001,-2.0
2022_2022-06-19_Edmonton_vs_Atlético_Ottawa,2022,2022-06-19 21:00:00+00:00,Edmonton,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Edmonton,55.0,55.0,1.0,True,1,0,0.2,2.2,-0.8,0.6,-2.0,-1.4
