match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok
2022_2022-06-16_Valour_vs_Cavalry,2022,2022-06-16T00:00:00Z,Valour,Cavalry,-355.73999999999796,-355.73999999999796,-355.73999999999796,16392.2,16747.94,True,home,Cavalry,16392.2,16392.2,1.0,True,away,Valour,16747.94,16747.94,1.0,True
2022_2022-06-18_York_United_vs_Pacific,2022,2022-06-18T20:00:00Z,York,Pacific,-231.11000000000058,-231.11000000000058,-231.11000000000058,16352.16,16583.27,True,home,Pacific,16352.16,16352.16,1.0,True,away,York,16583.27,16583.27,1.0,True
2022_2022-06-19_HFX_Wanderers_vs_Forge,2022,2022-06-19T18:00:00Z,Wanderers,Forge,-163.6800000000003,-163.6800000000003,-163.6800000000003,16467.88,16631.56,True,home,Forge,16467.88,16467.88,1.0,True,away,Wanderers,16631.56,16631.56,1.0,True
2022_2022-06-19_Edmonton_vs_Atlético_Ottawa,2022,2022-06-19T21:00:00Z,Edmonton,Atlético,69120.58,69120.58,69120.58,85813.96,16693.38,True,home,Atlético,85813.96,85813.96,1.0,True,away,Edmonton,16693.38,16693.38,1.0,True
2022_2022-06-25_Pacific_vs_HFX_Wanderers,2022,2022-06-25T21:00:00Z,Pacific,Wanderers,198.88000000000102,198.88000000000102,198.88000000000102,16583.05,16384.17,True,home,Wanderers,16583.05,16583.05,1.0,True,away,Pacific,16384.17,16384.17,1.0,True
2022_2022-06-26_York_United_vs_Valour,2022,2022-06-26T16:00:00Z,York,Valour,39.70999999999913,39.70999999999913,39.70999999999913,16352.38,16312.67,True,home,Valour,16352.38,16352.38,1.0,True,away,York,16312.67,16312.67,1.0,True
2022_2022-06-26_Cavalry_vs_Edmonton,2022,2022-06-26T23:00:00Z,Cavalry,Edmonton,-71445.2,-71445.2,-71445.2,16827.58,88272.78,True,home,Edmonton,16827.58,16827.58,1.0,True,away,Cavalry,88272.78,88272.78,1.0,True
2022_2022-06-29_Forge_vs_Valour,2022,2022-06-29T23:00:00Z,Forge,Valour,314.6000000000022,314.6000000000022,314.6000000000022,16715.27,16400.67,True,home,Valour,16715.27,16715.27,1.0,True,away,Forge,16400.67,16400.67,1.0,True
2022_2022-06-30_HFX_Wanderers_vs_Atlético_Ottawa,2022,2022-06-30T22:30:00Z,Wanderers,Atlético,-92.06999999999971,-92.06999999999971,-92.06999999999971,16475.69,16567.76,True,home,Atlético,16475.69,16475.69,1.0,True,away,Wanderers,16567.76,16567.76,1.0,True
2022_2022-07-01_Pacific_vs_Cavalry,2022,2022-07-01T01:30:00Z,Pacific,Cavalry,-378.51000000000204,-378.51000000000204,-378.51000000000204,16491.53,16870.04,True,home,Cavalry,16491.53,16491.53,1.0,True,away,Pacific,16870.04,16870.04,1.0,True
2022_2022-07-01_Edmonton_vs_York_United,2022,2022-07-01T22:00:00Z,Edmonton,York,73108.53,73108.53,73108.53,89372.8,16264.27,True,home,York,89372.8,89372.8,1.0,True,away,Edmonton,16264.27,16264.27,1.0,True
2022_2022-07-03_Forge_vs_Atlético_Ottawa,2022,2022-07-03T20:00:00Z,Forge,Atlético,-31.679999999996653,-31.679999999996653,-31.679999999996653,16621.33,16653.01,True,home,Atlético,16621.33,16621.33,1.0,True,away,Forge,16653.01,16653.01,1.0,True
2022_2022-07-08_York_United_vs_Forge,2022,2022-07-08T23:30:00Z,York,Forge,-379.60999999999876,-379.60999999999876,-379.60999999999876,16155.15,16534.76,True,home,Forge,16155.15,16155.15,1.0,True,away,York,16534.76,16534.76,1.0,True
2022_2022-07-09_Edmonton_vs_Pacific,2022,2022-07-09T20:00:00Z,Edmonton,Pacific,74452.02,74452.02,74452.02,90946.96,16494.94,True,home,Pacific,90946.96,90946.96,1.0,True,away,Edmonton,16494.94,16494.94,1.0,True
2022_2022-07-09_Atlético_Ottawa_vs_Cavalry,2022,2022-07-09T23:00:00Z,Atlético,Cavalry,-127.04999999999927,-127.04999999999927,-127.04999999999927,16739.58,16866.63,True,home,Cavalry,16739.58,16739.58,1.0,True,away,Atlético,16866.63,16866.63,1.0,True
2022_2022-07-10_Valour_vs_HFX_Wanderers,2022,2022-07-10T19:00:00Z,Valour,Wanderers,104.28000000000247,104.28000000000247,104.28000000000247,16494.72,16390.44,True,home,Wanderers,16494.72,16494.72,1.0,True,away,Valour,16390.44,16390.44,1.0,True
2022_2022-07-15_Cavalry_vs_HFX_Wanderers,2022,2022-07-15T00:30:00Z,Cavalry,Wanderers,553.7399999999998,553.7399999999998,553.7399999999998,16868.61,16314.87,True,home,Wanderers,16868.61,16868.61,1.0,True,away,Cavalry,16314.87,16314.87,1.0,True
2022_2022-07-15_York_United_vs_Pacific,2022,2022-07-15T23:30:00Z,York,Pacific,-483.34000000000196,-483.34000000000196,-483.34000000000196,16076.06,16559.4,True,home,Pacific,16076.06,16076.06,1.0,True,away,York,16559.4,16559.4,1.0,True
2022_2022-07-19_Forge_vs_Edmonton,2022,2022-07-19T22:45:00Z,Forge,Edmonton,-71683.29000000001,-71683.29000000001,-71683.29000000001,16613.85,88297.14,True,home,Edmonton,16613.85,16613.85,1.0,True,away,Forge,88297.14,88297.14,1.0,True
2022_2022-07-20_Cavalry_vs_York_United,2022,2022-07-20T01:30:00Z,Cavalry,York,935.3299999999999,935.3299999999999,935.3299999999999,16934.61,15999.28,True,home,York,16934.61,16934.61,1.0,True,away,Cavalry,15999.28,15999.28,1.0,True
2022_2022-07-20_Atlético_Ottawa_vs_Valour,2022,2022-07-20T23:00:00Z,Atlético,Valour,167.3100000000013,167.3100000000013,167.3100000000013,16737.49,16570.18,True,home,Valour,16737.49,16737.49,1.0,True,away,Atlético,16570.18,16570.18,1.0,True
2022_2022-07-23_Pacific_vs_Cavalry,2022,2022-07-23T02:00:00Z,Pacific,Cavalry,-191.61999999999898,-191.61999999999898,-191.61999999999898,16636.29,16827.91,True,home,Cavalry,16636.29,16636.29,1.0,True,away,Pacific,16827.91,16827.91,1.0,True
2022_2022-07-23_HFX_Wanderers_vs_Edmonton,2022,2022-07-23T17:30:00Z,Wanderers,Edmonton,-71530.68000000001,-71530.68000000001,-71530.68000000001,16248.87,87779.55,True,home,Edmonton,16248.87,16248.87,1.0,True,away,Wanderers,87779.55,87779.55,1.0,True
2022_2022-07-23_Forge_vs_Valour,2022,2022-07-23T20:30:00Z,Forge,Valour,81.5099999999984,81.5099999999984,81.5099999999984,16660.05,16578.54,True,home,Valour,16660.05,16660.05,1.0,True,away,Forge,16578.54,16578.54,1.0,True
2022_2022-07-24_York_United_vs_Atlético_Ottawa,2022,2022-07-24T18:00:00Z,York,Atlético,-623.260000000002,-623.260000000002,-623.260000000002,16105.98,16729.24,True,home,Atlético,16105.98,16105.98,1.0,True,away,York,16729.24,16729.24,1.0,True
2022_2022-07-28_Cavalry_vs_Forge,2022,2022-07-28T01:00:00Z,Cavalry,Forge,10.0099999999984,10.0099999999984,10.0099999999984,16746.07,16736.06,True,home,Forge,16746.07,16746.07,1.0,True,away,Cavalry,16736.06,16736.06,1.0,True
2022_2022-07-30_Valour_vs_Pacific,2022,2022-07-30T19:00:00Z,Valour,Pacific,-215.60000000000218,-215.60000000000218,-215.60000000000218,16502.53,16718.13,True,home,Pacific,16502.53,16502.53,1.0,True,away,Valour,16718.13,16718.13,1.0,True
2022_2022-07-30_Cavalry_vs_Edmonton,2022,2022-07-30T22:00:00Z,Cavalry,Edmonton,-71137.53,-71137.53,-71137.53,16658.51,87796.04,True,home,Edmonton,16658.51,16658.51,1.0,True,away,Cavalry,87796.04,87796.04,1.0,True
2022_2022-07-31_Atlético_Ottawa_vs_Forge,2022,2022-07-31T23:00:00Z,Atlético,Forge,-20.459999999999127,-20.459999999999127,-20.459999999999127,16803.05,16823.51,True,home,Forge,16803.05,16803.05,1.0,True,away,Atlético,16823.51,16823.51,1.0,True
