match_id,season,date,team,side,opponent,team_attack,team_defense,team_total,coverage_rate,coverage_ok
2022_2022-06-02_Valour_vs_Atlético_Ottawa,2022,2022-06-02T00:00:00Z,Atlético,away,Valour,55.0,55.0,55.0,1.0,True
2022_2022-06-02_Valour_vs_Atlético_Ottawa,2022,2022-06-02T00:00:00Z,Valour,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-06-04_HFX_Wanderers_vs_York_United,2022,2022-06-04T18:00:00Z,Wanderers,home,York,55.0,55.0,55.0,1.0,True
2022_2022-06-04_HFX_Wanderers_vs_York_United,2022,2022-06-04T18:00:00Z,York,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-06-05_Atlético_Ottawa_vs_Pacific,2022,2022-06-05T17:00:00Z,Atlético,home,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-06-05_Atlético_Ottawa_vs_Pacific,2022,2022-06-05T17:00:00Z,Pacific,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-06-05_Valour_vs_Edmonton,2022,2022-06-05T20:00:00Z,Edmonton,away,Valour,84284.2176,84284.2176,84284.2176,1.0,True
2022_2022-06-05_Valour_vs_Edmonton,2022,2022-06-05T20:00:00Z,Valour,home,Edmonton,16361.6244,16361.6244,16361.6244,1.0,True
2022_2022-06-11_Cavalry_vs_HFX_Wanderers,2022,2022-06-11T19:30:00Z,Cavalry,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-06-11_Cavalry_vs_HFX_Wanderers,2022,2022-06-11T19:30:00Z,Wanderers,away,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-06-12_Forge_vs_Pacific,2022,2022-06-12T20:00:00Z,Forge,home,Pacific,16567.5816,16567.5816,16567.5816,1.0,True
2022_2022-06-12_Forge_vs_Pacific,2022,2022-06-12T20:00:00Z,Pacific,away,Forge,16614.2157,16614.2157,16614.2157,1.0,True
2022_2022-06-14_Atlético_Ottawa_vs_York_United,2022,2022-06-14T23:00:00Z,Atlético,home,York,55.0,55.0,55.0,1.0,True
2022_2022-06-14_Atlético_Ottawa_vs_York_United,2022,2022-06-14T23:00:00Z,York,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-06-15_Edmonton_vs_HFX_Wanderers,2022,2022-06-15T02:00:00Z,Edmonton,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-06-15_Edmonton_vs_HFX_Wanderers,2022,2022-06-15T02:00:00Z,Wanderers,away,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-06-16_Valour_vs_Cavalry,2022,2022-06-16T00:00:00Z,Cavalry,away,Valour,16802.9347,16802.9347,16802.9347,1.0,True
2022_2022-06-16_Valour_vs_Cavalry,2022,2022-06-16T00:00:00Z,Valour,home,Cavalry,16298.0261,16298.0261,16298.0261,1.0,True
2022_2022-06-18_York_United_vs_Pacific,2022,2022-06-18T20:00:00Z,Pacific,away,York,55.0,55.0,55.0,1.0,True
2022_2022-06-18_York_United_vs_Pacific,2022,2022-06-18T20:00:00Z,York,home,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-06-19_HFX_Wanderers_vs_Forge,2022,2022-06-19T18:00:00Z,Forge,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-06-19_HFX_Wanderers_vs_Forge,2022,2022-06-19T18:00:00Z,Wanderers,home,Forge,55.0,55.0,55.0,1.0,True
2022_2022-06-19_Edmonton_vs_Atlético_Ottawa,2022,2022-06-19T21:00:00Z,Atlético,away,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-06-19_Edmonton_vs_Atlético_Ottawa,2022,2022-06-19T21:00:00Z,Edmonton,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-06-25_Pacific_vs_HFX_Wanderers,2022,2022-06-25T21:00:00Z,Pacific,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-06-25_Pacific_vs_HFX_Wanderers,2022,2022-06-25T21:00:00Z,Wanderers,away,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-06-26_York_United_vs_Valour,2022,2022-06-26T16:00:00Z,Valour,away,York,55.0,55.0,55.0,1.0,True
2022_2022-06-26_York_United_vs_Valour,2022,2022-06-26T16:00:00Z,York,home,Valour,55.0,55.0,55.0,1.0,True
2022_2022-06-26_Cavalry_vs_Edmonton,2022,2022-06-26T23:00:00Z,Cavalry,home,Edmonton,16914.2325,16914.2325,16914.2325,1.0,True
2022_2022-06-26_Cavalry_vs_Edmonton,2022,2022-06-26T23:00:00Z,Edmonton,away,Cavalry,87261.7739,87261.7739,87261.7739,1.0,True
2022_2022-06-29_Forge_vs_Valour,2022,2022-06-29T23:00:00Z,Forge,home,Valour,16663.1768,16663.1768,16663.1768,1.0,True
2022_2022-06-29_Forge_vs_Valour,2022,2022-06-29T23:00:00Z,Valour,away,Forge,16186.7283,16186.7283,16186.7283,1.0,True
2022_2022-06-30_HFX_Wanderers_vs_Atlético_Ottawa,2022,2022-06-30T22:30:00Z,Atlético,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-06-30_HFX_Wanderers_vs_Atlético_Ottawa,2022,2022-06-30T22:30:00Z,Wanderers,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-07-01_Pacific_vs_Cavalry,2022,2022-07-01T01:30:00Z,Cavalry,away,Pacific,16957.5472,16957.5472,16957.5472,1.0,True
2022_2022-07-01_Pacific_vs_Cavalry,2022,2022-07-01T01:30:00Z,Pacific,home,Cavalry,16518.6206,16518.6206,16518.6206,1.0,True
2022_2022-07-01_Edmonton_vs_York_United,2022,2022-07-01T22:00:00Z,Edmonton,home,York,55.0,55.0,55.0,1.0,True
2022_2022-07-01_Edmonton_vs_York_United,2022,2022-07-01T22:00:00Z,York,away,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-07-03_Forge_vs_Atlético_Ottawa,2022,2022-07-03T20:00:00Z,Atlético,away,Forge,55.0,55.0,55.0,1.0,True
2022_2022-07-03_Forge_vs_Atlético_Ottawa,2022,2022-07-03T20:00:00Z,Forge,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-07-08_York_United_vs_Forge,2022,2022-07-08T23:30:00Z,Forge,away,York,55.0,55.0,55.0,1.0,True
2022_2022-07-08_York_United_vs_Forge,2022,2022-07-08T23:30:00Z,York,home,Forge,55.0,55.0,55.0,1.0,True
2022_2022-07-09_Edmonton_vs_Pacific,2022,2022-07-09T20:00:00Z,Edmonton,home,Pacific,85233.859,85233.859,85233.859,1.0,True
2022_2022-07-09_Edmonton_vs_Pacific,2022,2022-07-09T20:00:00Z,Pacific,away,Edmonton,16515.4245,16515.4245,16515.4245,1.0,True
2022_2022-07-09_Atlético_Ottawa_vs_Cavalry,2022,2022-07-09T23:00:00Z,Atlético,home,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-07-09_Atlético_Ottawa_vs_Cavalry,2022,2022-07-09T23:00:00Z,Cavalry,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-07-10_Valour_vs_HFX_Wanderers,2022,2022-07-10T19:00:00Z,Valour,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-07-10_Valour_vs_HFX_Wanderers,2022,2022-07-10T19:00:00Z,Wanderers,away,Valour,55.0,55.0,55.0,1.0,True
2022_2022-07-15_Cavalry_vs_HFX_Wanderers,2022,2022-07-15T00:30:00Z,Cavalry,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-07-15_Cavalry_vs_HFX_Wanderers,2022,2022-07-15T00:30:00Z,Wanderers,away,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-07-15_York_United_vs_Pacific,2022,2022-07-15T23:30:00Z,Pacific,away,York,55.0,55.0,55.0,1.0,True
2022_2022-07-15_York_United_vs_Pacific,2022,2022-07-15T23:30:00Z,York,home,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-07-19_Forge_vs_Edmonton,2022,2022-07-19T22:45:00Z,Edmonton,away,Forge,81950.8946,81950.8946,81950.8946,1.0,True
2022_2022-07-19_Forge_vs_Edmonton,2022,2022-07-19T22:45:00Z,Forge,home,Edmonton,16524.3237,16524.3237,16524.3237,1.0,True
2022_2022-07-20_Cavalry_vs_York_United,2022,2022-07-20T01:30:00Z,Cavalry,home,York,55.0,55.0,55.0,1.0,True
2022_2022-07-20_Cavalry_vs_York_United,2022,2022-07-20T01:30:00Z,York,away,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-07-20_Atlético_Ottawa_vs_Valour,2022,2022-07-20T23:00:00Z,Atlético,home,Valour,55.0,55.0,55.0,1.0,True
2022_2022-07-20_Atlético_Ottawa_vs_Valour,2022,2022-07-20T23:00:00Z,Valour,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-07-23_Pacific_vs_Cavalry,2022,2022-07-23T02:00:00Z,Cavalry,away,Pacific,16960.7432,16960.7432,16960.7432,1.0,True
2022_2022-07-23_Pacific_vs_Cavalry,2022,2022-07-23T02:00:00Z,Pacific,home,Cavalry,16585.5461,16585.5461,16585.5461,1.0,True
2022_2022-07-23_HFX_Wanderers_vs_Edmonton,2022,2022-07-23T17:30:00Z,Edmonton,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-07-23_HFX_Wanderers_vs_Edmonton,2022,2022-07-23T17:30:00Z,Wanderers,home,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-07-23_Forge_vs_Valour,2022,2022-07-23T20:30:00Z,Forge,home,Valour,16562.4185,16562.4185,16562.4185,1.0,True
2022_2022-07-23_Forge_vs_Valour,2022,2022-07-23T20:30:00Z,Valour,away,Forge,16325.5814,16325.5814,16325.5814,1.0,True
2022_2022-07-24_York_United_vs_Atlético_Ottawa,2022,2022-07-24T18:00:00Z,Atlético,away,York,55.0,55.0,55.0,1.0,True
2022_2022-07-24_York_United_vs_Atlético_Ottawa,2022,2022-07-24T18:00:00Z,York,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-07-28_Cavalry_vs_Forge,2022,2022-07-28T01:00:00Z,Cavalry,home,Forge,16855.771,16855.771,16855.771,1.0,True
2022_2022-07-28_Cavalry_vs_Forge,2022,2022-07-28T01:00:00Z,Forge,away,Cavalry,16650.0862,16650.0862,16650.0862,1.0,True
2022_2022-07-30_Valour_vs_Pacific,2022,2022-07-30T19:00:00Z,Pacific,away,Valour,16690.5184,16690.5184,16690.5184,1.0,True
2022_2022-07-30_Valour_vs_Pacific,2022,2022-07-30T19:00:00Z,Valour,home,Pacific,16237.9138,16237.9138,16237.9138,1.0,True
2022_2022-07-30_Cavalry_vs_Edmonton,2022,2022-07-30T22:00:00Z,Cavalry,home,Edmonton,16724.2997,16724.2997,16724.2997,1.0,True
2022_2022-07-30_Cavalry_vs_Edmonton,2022,2022-07-30T22:00:00Z,Edmonton,away,Cavalry,80167.3644,80167.3644,80167.3644,1.0,True
2022_2022-07-31_Atlético_Ottawa_vs_Forge,2022,2022-07-31T23:00:00Z,Atlético,home,Forge,55.0,55.0,55.0,1.0,True
2022_2022-07-31_Atlético_Ottawa_vs_Forge,2022,2022-07-31T23:00:00Z,Forge,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-08-01_HFX_Wanderers_vs_York_United,2022,2022-08-01T18:00:00Z,Wanderers,home,York,55.0,55.0,55.0,1.0,True
2022_2022-08-01_HFX_Wanderers_vs_York_United,2022,2022-08-01T18:00:00Z,York,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-08-04_Valour_vs_Cavalry,2022,2022-08-04T00:00:00Z,Cavalry,away,Valour,16755.7896,16755.7896,16755.7896,1.0,True
2022_2022-08-04_Valour_vs_Cavalry,2022,2022-08-04T00:00:00Z,Valour,home,Cavalry,16125.1111,16125.1111,16125.1111,1.0,True
2022_2022-08-06_Forge_vs_HFX_Wanderers,2022,2022-08-06T20:00:00Z,Forge,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-08-06_Forge_vs_HFX_Wanderers,2022,2022-08-06T20:00:00Z,Wanderers,away,Forge,55.0,55.0,55.0,1.0,True
2022_2022-08-07_Atlético_Ottawa_vs_Edmonton,2022,2022-08-07T18:37:00Z,Atlético,home,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-08-07_Atlético_Ottawa_vs_Edmonton,2022,2022-08-07T18:37:00Z,Edmonton,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-08-07_Valour_vs_York_United,2022,2022-08-07T21:00:00Z,Valour,home,York,55.0,55.0,55.0,1.0,True
2022_2022-08-07_Valour_vs_York_United,2022,2022-08-07T21:00:00Z,York,away,Valour,55.0,55.0,55.0,1.0,True
2022_2022-08-13_Cavalry_vs_Forge,2022,2022-08-13T01:00:00Z,Cavalry,home,Forge,16643.4679,16643.4679,16643.4679,1.0,True
2022_2022-08-13_Cavalry_vs_Forge,2022,2022-08-13T01:00:00Z,Forge,away,Cavalry,16781.5574,16781.5574,16781.5574,1.0,True
2022_2022-08-13_HFX_Wanderers_vs_Valour,2022,2022-08-13T18:00:00Z,Valour,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-08-13_HFX_Wanderers_vs_Valour,2022,2022-08-13T18:00:00Z,Wanderers,home,Valour,55.0,55.0,55.0,1.0,True
2022_2022-08-13_Pacific_vs_Atlético_Ottawa,2022,2022-08-13T21:00:00Z,Atlético,away,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-08-13_Pacific_vs_Atlético_Ottawa,2022,2022-08-13T21:00:00Z,Pacific,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-08-14_York_United_vs_Edmonton,2022,2022-08-14T20:00:00Z,Edmonton,away,York,55.0,55.0,55.0,1.0,True
2022_2022-08-14_York_United_vs_Edmonton,2022,2022-08-14T20:00:00Z,York,home,Edmonton,55.0,55.0,55.0,1.0,True
2022_2022-08-17_Atlético_Ottawa_vs_HFX_Wanderers,2022,2022-08-17T23:00:00Z,Atlético,home,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-08-17_Atlético_Ottawa_vs_HFX_Wanderers,2022,2022-08-17T23:00:00Z,Wanderers,away,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-08-20_HFX_Wanderers_vs_Pacific,2022,2022-08-20T17:30:00Z,Pacific,away,Wanderers,55.0,55.0,55.0,1.0,True
2022_2022-08-20_HFX_Wanderers_vs_Pacific,2022,2022-08-20T17:30:00Z,Wanderers,home,Pacific,55.0,55.0,55.0,1.0,True
2022_2022-08-20_Forge_vs_York_United,2022,2022-08-20T23:00:00Z,Forge,home,York,55.0,55.0,55.0,1.0,True
2022_2022-08-20_Forge_vs_York_United,2022,2022-08-20T23:00:00Z,York,away,Forge,55.0,55.0,55.0,1.0,True
2022_2022-08-21_Valour_vs_Edmonton,2022,2022-08-21T18:30:00Z,Edmonton,away,Valour,78693.063,78693.063,78693.063,1.0,True
2022_2022-08-21_Valour_vs_Edmonton,2022,2022-08-21T18:30:00Z,Valour,home,Edmonton,16237.4329,16237.4329,16237.4329,1.0,True
2022_2022-08-21_Cavalry_vs_Atlético_Ottawa,2022,2022-08-21T21:30:00Z,Atlético,away,Cavalry,55.0,55.0,55.0,1.0,True
2022_2022-08-21_Cavalry_vs_Atlético_Ottawa,2022,2022-08-21T21:30:00Z,Cavalry,home,Atlético,55.0,55.0,55.0,1.0,True
2022_2022-08-27_Cavalry_vs_York_United,2022,2022-08-27T19:30:00Z,Cavalry,home,York,55.0,55.0,55.0,1.0,True
