playerName,playerId,season,team,role,TotalShrunk,PercentileRank,ScoreDelta,PrevSeasonScore,AttackShrunk,DefenseShrunk,Minutes,Eligible,G_per_game,A_per_game,SOT_per_game,KP_per_game,Tackles_pg,PassPct,SavePct,GAA
E. Ongaro,cpl::Football_Player::a0c39d4aadea4642ba22743b4c68b23a,2019,Edmonton,forward,6.4342565380229235,72.0,,,7.7993198364424146,-1.051265463852845,1167,True,0.4761904761904761,0.0952380952380952,1.0,0.0952380952380952,0.09523809523809523,75.0,0.0,1.47
N. Langwa,cpl::Football_Player::234ca5343e0d44918510c10cf986e4a0,2019,Wanderers,defender,2.674980816110874,71.1,,,-1.38431612673714,4.696342337938535,1281,True,0.0,0.0,0.1578947368421052,0.0,2.473684210526316,70.0,0.0,1.12
E. Cissé,cpl::Football_Player::9530e64bf7744102b3eeecd7fcf46c34,2019,Forge,midfielder,4.337412238873846,70.6,,,4.062607095993614,0.5792860295194784,1731,True,0.0869565217391304,0.0869565217391304,0.391304347826087,0.0869565217391304,1.3478260869565217,86.0,0.0,0.83
M. Carducci,cpl::Football_Player::23c92ceb8bee415a886f16e93c507c65,2019,Cavalry,goalkeeper,2.618820716760114,70.0,,,-0.005366436070626812,3.228243773529378,2250,True,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.68
D. Northover,cpl::Football_Player::14db7405a9c04988b3f8c7e7462ccab0,2019,Cavalry,defender,2.651051035013174,68.4,,,-2.051510622935288,-0.8670420890996889,609,True,0.0,0.0,0.0,0.0,1.625,70.0,0.0,0.74
K. Porter,cpl::Football_Player::a3da6283599541849144b5b108dbc67b,2019,Ottawa Fury,forward,5.985653166268935,68.0,,,5.332785576636631,1.0971519139414585,1916,True,0.08,0.16,0.8,0.16,1.4,80.0,0.0,1.17
J. Di Chiara,cpl::Football_Player::316e45756fc44527ada7b1ea025918b0,2019,York,midfielder,3.673326552520348,67.6,,,2.456558760556918,1.541229886821333,1755,True,0.0869565217391304,0.0434782608695652,0.217391304347826,0.0434782608695652,1.434782608695652,89.0,0.0,1.38
J. Grant,cpl::Football_Player::3aaf25a2f090423584d5e9d492e5ca42,2019,Atlético,defender,2.623351051989189,65.8,,,1.1025058009575104,0.5485592106131015,882,True,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0769230769230769,1.7692307692307692,70.0,0.0,0.82
Soria,cpl::Football_Player::c3a357530ca345ee801114eea7ffc636,2019,Edmonton,midfielder,2.718066705838766,64.7,,,2.5918074965831517,0.22789087141441358,2011,True,0.0434782608695652,0.1304347826086956,0.1739130434782608,0.1304347826086956,1.0869565217391304,77.0,0.0,1.03
O. Diouck,cpl::Football_Player::5caf5069370145c293932a8d757afa03,2019,Edmonton,forward,5.8151140444733045,64.0,,,3.9617201299493843,2.1901397639592166,1977,True,0.2307692307692307,0.0769230769230769,0.6153846153846154,0.0769230769230769,0.9230769230769231,77.0,0.0,1.0
K. Chung,cpl::Football_Player::edf6ef9ee973485dbbf8b5123cf83a94,2019,Pacific,defender,2.0729542975336246,63.2,,,0.5082968179719182,3.273132147505109,2032,True,0.0416666666666666,0.0833333333333333,0.0416666666666666,0.0833333333333333,1.7083333333333333,79.0,0.0,1.51
