Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue,Result,NaiveProbHome,NaiveProbDraw,NaiveProbAway
2023,2023-06-10 23:00:00+00:00,Forge,Pacific,0,1,FINISHED,Hamilton Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-11 21:00:00+00:00,Cavalry,Vancouver FC,3,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-17 00:00:00+00:00,Valour,Forge,2,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-17 18:00:00+00:00,Atlético Ottawa,Vancouver FC,1,0,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-17 18:00:00+00:00,HFX Wanderers,Cavalry,3,1,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-18 20:00:00+00:00,Pacific,York United,1,0,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-21 02:00:00+00:00,Vancouver FC,Forge,2,0,FINISHED,Willoughby Community Park at the Langley Events Centre,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-21 23:00:00+00:00,York United,HFX Wanderers,2,2,FINISHED,York Lions Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-22 02:00:00+00:00,Pacific,Valour,1,0,FINISHED,Starlight Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-24 21:00:00+00:00,Cavalry,York United,2,1,FINISHED,ATCO Field,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-25 19:00:00+00:00,Valour,Vancouver FC,1,0,FINISHED,Princess Auto Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-25 22:00:00+00:00,Forge,Atlético Ottawa,4,3,FINISHED,Hamilton Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-06-30 22:00:00+00:00,HFX Wanderers,Forge,2,1,FINISHED,Wanderers Grounds,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-07-01 01:30:00+00:00,Pacific,Atlético Ottawa,2,2,FINISHED,Starlight Stadium,D,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-07-01 19:00:00+00:00,Valour,Cavalry,0,2,FINISHED,Princess Auto Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-07-02 20:30:00+00:00,Vancouver FC,York United,1,2,FINISHED,Willoughby Community Park at the Langley Events Centre,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-07-08 02:00:00+00:00,Vancouver FC,HFX Wanderers,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-07-09 01:00:00+00:00,Pacific,Cavalry,1,2,FINISHED,Starlight Stadium,A,0.4337606837606838,0.2670940170940171,0.29914529914529914
2023,2023-07-09 19:00:00+00:00,Atlético Ottawa,Valour,2,0,FINISHED,TD Place Stadium,H,0.4337606837606838,0.2670940170940171,0.29914529914529914
