playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
D. Campbell,2020,Valour,Midfielder,midfielder,5,227,0,0,0,0,0,0,5,4,4,0,1,0,73.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,45.4,cpl::Football_Player::a4d26a57d62040df8359a9bc96b1db67
D. Carreiro,2020,Vaughan,Midfielder,midfielder,7,333,1,0,6,0,4,0,2,0,13,0,1,0,79.0,1.89,0.0,0.14285714285714285,0.0,0.8571428571428571,0.5714285714285714,0.0,47.57142857142857,cpl::Football_Player::392be6a9c97c4804a198cd3b34e93705
D. Choinière,2020,Forge,Forward,forward,11,598,1,1,4,0,3,1,5,6,14,4,0,0,81.0,0.9,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.09090909090909091,54.36363636363637,cpl::Football_Player::04cd976c461148d79ab8cafc0bf69c62
D. Edgar,2020,Ottawa Fury,Defender,defender,10,900,0,0,3,0,2,0,5,12,3,0,4,0,82.0,0.8,0.0,0.0,0.0,0.3,0.2,0.0,90.0,cpl::Football_Player::4d80c00c2a1f41918fca2b04e26b6034
D. Fordyce,2020,Valour,Forward,forward,5,164,1,0,4,0,3,0,0,5,3,1,0,0,63.0,2.74,0.0,0.2,0.0,0.8,0.6,0.0,32.8,cpl::Football_Player::48e58b3fa72f4f24ab03510e47ad2e6b
D. Gutiérrez,2020,Cavalry,Midfielder,midfielder,7,489,0,0,1,0,0,0,7,10,6,0,1,0,84.0,0.74,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,69.85714285714286,cpl::Football_Player::d80c8273244649a0841591e849fc3590
D. Kinumbe,2020,Ottawa Fury,Defender,defender,4,208,0,0,1,0,0,0,2,1,4,2,0,0,69.0,3.03,0.0,0.0,0.0,0.25,0.0,0.0,52.0,cpl::Football_Player::915deb7a225b43bf96bef5524d31ce6e
D. Krutzen,2020,Forge,Defender,defender,11,961,2,0,10,0,3,0,10,14,18,0,2,0,78.0,0.94,0.0,0.18181818181818182,0.0,0.9090909090909091,0.2727272727272727,0.0,87.36363636363636,cpl::Football_Player::8d7834c08c834b28a4daef064d1e6041
D. Lee,2020,Wanderers,Defender,defender,2,123,0,0,0,0,0,0,3,1,1,0,1,0,83.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,61.5,cpl::Football_Player::94c3ab35a187436683aa1e7c720bf37a
D. Northover,2020,Cavalry,Defender,defender,7,355,0,0,0,0,0,0,4,8,13,0,0,0,64.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,50.714285714285715,cpl::Football_Player::14db7405a9c04988b3f8c7e7462ccab0
D. Powley,2020,Edmonton,Goalkeeper,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::7517829ba9bc4c5f89f19a60bcaa4cc8
