playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
R. Romeo,2024,Valour,Defender,defender,23.0,2025,2.0,0.0,9.0,2.0,4.0,0.0,11.0,19.0,5.0,2.0,5.0,0.0,85.0,1.6,58.02,0.0869565217391304,0.0,0.391304347826087,0.1739130434782608,0.0,88.04347826086956,cpl::Football_Player::a22a6c20e107412398d843c4ab034577
R. Romeo,2025,Valour,Defender,defender,17.0,1157,0.0,0.0,2.0,0.0,1.0,0.0,9.0,10.0,5.0,1.0,4.0,0.0,87.0,2.41,61.54,0.0,0.0,0.1176470588235294,0.0588235294117647,0.0,68.05882352941177,cpl::Football_Player::a22a6c20e107412398d843c4ab034577
R. Telfer,2019,Wanderers,Forward,forward,26.0,2216,8.0,1.0,50.0,0.0,29.0,1.0,36.0,24.0,45.0,13.0,2.0,0.0,78.0,1.34,0.0,0.3076923076923077,0.0384615384615384,1.9230769230769231,1.1153846153846154,0.0384615384615384,85.23076923076923,cpl::Football_Player::3a40cda943824387943792e6a62fee0f
R. Telfer,2020,Wanderers,Forward,forward,7.0,620,0.0,0.0,14.0,0.0,7.0,0.0,7.0,10.0,15.0,2.0,3.0,0.0,73.0,0.87,0.0,0.0,0.0,2.0,1.0,0.0,88.57142857142857,cpl::Football_Player::3a40cda943824387943792e6a62fee0f
R. Telfer,2021,Wanderers,Forward,forward,16.0,1376,3.0,0.0,17.0,0.0,8.0,0.0,7.0,18.0,35.0,4.0,4.0,1.0,81.0,1.64,0.0,0.1875,0.0,1.0625,0.5,0.0,86.0,cpl::Football_Player::3a40cda943824387943792e6a62fee0f
R. Telfer,2024,Wanderers,Forward,forward,23.0,1659,4.0,2.0,28.0,6.0,11.0,2.0,11.0,15.0,43.0,6.0,3.0,0.0,74.0,1.19,45.76,0.1739130434782608,0.0869565217391304,1.2173913043478262,0.4782608695652174,0.0869565217391304,72.1304347826087,cpl::Football_Player::3a40cda943824387943792e6a62fee0f
R. Telfer,2025,Wanderers,Forward,forward,26.0,1999,3.0,1.0,24.0,4.0,12.0,1.0,11.0,19.0,41.0,7.0,2.0,0.0,79.0,1.22,53.75,0.1153846153846153,0.0384615384615384,0.9230769230769232,0.4615384615384615,0.0384615384615384,76.88461538461539,cpl::Football_Player::3a40cda943824387943792e6a62fee0f
R. Thompson,2019,York,Defender,defender,10.0,802,0.0,0.0,3.0,0.0,0.0,0.0,5.0,9.0,3.0,0.0,1.0,0.0,85.0,1.01,0.0,0.0,0.0,0.3,0.0,0.0,80.2,cpl::Football_Player::ebfeb9e972964148846658f57142a247
R. Thompson,2020,York,Defender,defender,7.0,630,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,77.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,90.0,cpl::Football_Player::ebfeb9e972964148846658f57142a247
R. Thompson,2021,York,Defender,defender,9.0,546,0.0,0.0,3.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,85.0,1.32,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,60.666666666666664,cpl::Football_Player::ebfeb9e972964148846658f57142a247
R. Thompson,2022,York,Defender,defender,14.0,1023,0.0,0.0,2.0,0.0,1.0,0.0,7.0,7.0,3.0,0.0,3.0,0.0,86.0,1.41,0.0,0.0,0.0,0.1428571428571428,0.0714285714285714,0.0,73.07142857142857,cpl::Football_Player::ebfeb9e972964148846658f57142a247
R. Thompson,2023,York,Defender,defender,15.0,1166,1.0,0.0,4.0,0.0,1.0,0.0,11.0,8.0,2.0,0.0,2.0,0.0,85.0,1.7,0.0,0.0666666666666666,0.0,0.2666666666666666,0.0666666666666666,0.0,77.73333333333333,cpl::Football_Player::ebfeb9e972964148846658f57142a247
R. Walkes,2025,Wanderers,Forward,forward,2.0,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6.0,cpl::Football_Player::44bbbee1a40b4627a0d187e56fc881c6
R. Yesli,2022,Wanderers,Goalkeeper,goalkeeper,9.0,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4
R. Yesli,2023,Wanderers,Goalkeeper,goalkeeper,26.0,2340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,59.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4
R. Yesli,2024,Wanderers,Goalkeeper,goalkeeper,8.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,76.0,1.25,100.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4
R. Yesli,2025,Wanderers,Goalkeeper,goalkeeper,28.0,2545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,70.0,1.27,80.0,0.0,0.0,0.0357142857142857,0.0,0.0,90.89285714285714,cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4
R. del Campo,2023,Atlético,Forward,forward,16.0,610,0.0,2.0,15.0,0.0,6.0,2.0,2.0,11.0,7.0,3.0,2.0,0.0,65.0,1.33,0.0,0.0,0.125,0.9375,0.375,0.125,38.125,cpl::Football_Player::7605490b6ccd4ec881fe76b8f5e1999f
R. del Campo,2024,Atlético,Forward,forward,30.0,2265,12.0,2.0,61.0,14.0,27.0,2.0,6.0,30.0,34.0,16.0,5.0,0.0,74.0,1.15,35.94,0.4,0.0666666666666666,2.033333333333333,0.9,0.0666666666666666,75.5,cpl::Football_Player::7605490b6ccd4ec881fe76b8f5e1999f
Rafael Galhardo,2021,Valour,Midfielder,midfielder,23.0,1374,2.0,3.0,25.0,0.0,7.0,3.0,5.0,17.0,30.0,3.0,2.0,0.0,79.0,1.44,0.0,0.0869565217391304,0.1304347826086956,1.0869565217391304,0.3043478260869565,0.1304347826086956,59.73913043478261,cpl::Football_Player::63a938dd7b28476b9c5483ecb3f753e0
Ralph Khoury,2025,Atlético,Forward,forward,7.0,70,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,68.0,0.0,75.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,10.0,cpl::Football_Player::4eb0f3ce9e404d69a8b6b99ca92c02eb
Raúl Uche,2021,Atlético,Forward,forward,11.0,510,0.0,0.0,5.0,0.0,3.0,0.0,6.0,6.0,11.0,5.0,0.0,0.0,78.0,2.29,0.0,0.0,0.0,0.4545454545454545,0.2727272727272727,0.0,46.36363636363637,cpl::Football_Player::0d17a32998794c7a8e41e5eaa0edece0
Renan Garcia,2023,Vancouver FC,Midfielder,midfielder,14.0,1257,1.0,1.0,14.0,0.0,7.0,1.0,26.0,20.0,16.0,0.0,2.0,0.0,82.0,1.93,0.0,0.0714285714285714,0.0714285714285714,1.0,0.5,0.0714285714285714,89.78571428571429,cpl::Football_Player::ad84db4f538d40f0b2ef200c7a5ed403
Renan Garcia,2024,Vancouver FC,Midfielder,midfielder,27.0,2247,0.0,0.0,21.0,0.0,9.0,0.0,35.0,47.0,10.0,0.0,6.0,0.0,85.0,1.56,51.76,0.0,0.0,0.7777777777777778,0.3333333333333333,0.0,83.22222222222223,cpl::Football_Player::ad84db4f538d40f0b2ef200c7a5ed403
Richard Luca,2021,Cavalry,Forward,forward,18.0,798,1.0,0.0,18.0,0.0,5.0,0.0,12.0,10.0,25.0,1.0,1.0,0.0,68.0,1.02,0.0,0.0555555555555555,0.0,1.0,0.2777777777777778,0.0,44.333333333333336,cpl::Football_Player::4bc03a5de42b4871860e6f88fe33f12b
Roberto Alarcón,2022,Valour,Defender,defender,17.0,1160,0.0,3.0,8.0,0.0,4.0,3.0,21.0,28.0,30.0,0.0,6.0,0.0,84.0,1.16,0.0,0.0,0.1764705882352941,0.4705882352941176,0.2352941176470588,0.1764705882352941,68.23529411764706,cpl::Football_Player::3369d66b5c1c44c38f4b479aed83a7e7
Roberto Alarcón,2023,Valour,Defender,defender,11.0,547,0.0,0.0,2.0,0.0,2.0,0.0,9.0,11.0,5.0,0.0,2.0,0.0,86.0,1.97,0.0,0.0,0.0,0.1818181818181818,0.1818181818181818,0.0,49.72727272727273,cpl::Football_Player::3369d66b5c1c44c38f4b479aed83a7e7
Roberto Alarcón,2024,Valour,Defender,defender,23.0,1810,0.0,1.0,5.0,1.0,1.0,1.0,29.0,29.0,29.0,1.0,6.0,1.0,88.0,1.49,45.16,0.0,0.0434782608695652,0.217391304347826,0.0434782608695652,0.0434782608695652,78.69565217391305,cpl::Football_Player::3369d66b5c1c44c38f4b479aed83a7e7
Roberto Alarcón,2025,Valour,Defender,defender,24.0,1554,0.0,2.0,6.0,2.0,0.0,2.0,41.0,23.0,24.0,1.0,5.0,0.0,88.0,2.37,71.43,0.0,0.0833333333333333,0.25,0.0,0.0833333333333333,64.75,cpl::Football_Player::3369d66b5c1c44c38f4b479aed83a7e7
Rony Mbomio,2025,Atlético,Defender,defender,8.0,623,0.0,0.0,3.0,0.0,2.0,0.0,6.0,4.0,5.0,0.0,0.0,0.0,94.0,0.87,66.67,0.0,0.0,0.375,0.25,0.0,77.875,cpl::Football_Player::2d5018feb2d44e5796770ebc81f9db71
S. Antwi,2020,Valour,Forward,forward,4.0,80,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,20.0,cpl::Football_Player::636928fc1d194bd798a9ac73f086a9ba
S. Astridge,2025,Wanderers,Goalkeeper,goalkeeper,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cpl::Football_Player::6306b765944944b3b26cdc5135460126
S. Camargo,2019,Cavalry,Midfielder,midfielder,20.0,1260,6.0,3.0,18.0,0.0,11.0,3.0,8.0,10.0,15.0,7.0,1.0,0.0,76.0,0.64,0.0,0.3,0.15,0.9,0.55,0.15,63.0,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d
S. Camargo,2020,Cavalry,Midfielder,midfielder,2.0,130,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,80.0,1.38,0.0,0.5,0.0,1.5,0.5,0.0,65.0,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d
S. Camargo,2021,Cavalry,Midfielder,midfielder,23.0,1313,4.0,2.0,21.0,0.0,13.0,2.0,4.0,13.0,23.0,5.0,3.0,0.0,79.0,1.17,0.0,0.1739130434782608,0.0869565217391304,0.9130434782608696,0.5652173913043478,0.0869565217391304,57.08695652173913,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d
S. Camargo,2022,Cavalry,Midfielder,midfielder,15.0,789,2.0,0.0,12.0,0.0,6.0,0.0,1.0,7.0,10.0,3.0,3.0,0.0,76.0,1.25,0.0,0.1333333333333333,0.0,0.8,0.4,0.0,52.6,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d
S. Camargo,2023,Cavalry,Midfielder,midfielder,28.0,1651,6.0,2.0,24.0,0.0,11.0,2.0,10.0,17.0,28.0,1.0,6.0,0.0,81.0,0.98,0.0,0.2142857142857142,0.0714285714285714,0.8571428571428571,0.3928571428571428,0.0714285714285714,58.964285714285715,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d
S. Camargo,2024,Cavalry,Midfielder,midfielder,26.0,1740,3.0,4.0,24.0,7.0,15.0,4.0,7.0,15.0,22.0,6.0,1.0,0.0,85.0,0.78,60.87,0.1153846153846153,0.1538461538461538,0.9230769230769232,0.5769230769230769,0.1538461538461538,66.92307692307692,cpl::Football_Player::9a6571b3737143b79989244b08fbd50d
