Season,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Status,Venue
2021,2021-08-04T23:00:00Z,Forge,Inter Toronto,0,1,FINISHED,Hamilton Stadium
2021,2021-08-05T01:30:00Z,Pacific,Valour,2,1,FINISHED,Starlight Stadium
2021,2021-08-07T18:00:00Z,HFX Wanderers,Inter Toronto,2,3,FINISHED,Wanderers Grounds
2021,2021-08-07T22:30:00Z,Pacific,Edmonton,2,2,FINISHED,Starlight Stadium
2021,2021-08-08T17:00:00Z,Forge,Atlético Ottawa,2,0,FINISHED,Hamilton Stadium
2021,2021-08-08T20:00:00Z,Cavalry,Valour,1,0,FINISHED,ATCO Field
2021,2021-08-12T01:00:00Z,Cavalry,Pacific,0,0,FINISHED,ATCO Field
2021,2021-08-13T01:00:00Z,Edmonton,Valour,0,0,FINISHED,Clarke Field
2021,2021-08-14T19:00:00Z,Atlético Ottawa,HFX Wanderers,2,1,FINISHED,TD Place Stadium
2021,2021-08-17T00:00:00Z,Valour,Pacific,0,2,FINISHED,Princess Auto Stadium
2021,2021-08-18T23:00:00Z,Atlético Ottawa,Inter Toronto,1,1,FINISHED,TD Place Stadium
2021,2021-08-21T01:30:00Z,Pacific,Cavalry,1,2,FINISHED,Starlight Stadium
2021,2021-08-22T20:00:00Z,Forge,HFX Wanderers,1,1,FINISHED,Hamilton Stadium
2021,2021-08-25T00:00:00Z,Valour,Edmonton,3,0,FINISHED,Princess Auto Stadium
2021,2021-08-25T22:00:00Z,Inter Toronto,HFX Wanderers,1,1,FINISHED,York Lions Stadium
2021,2021-08-26T00:00:00Z,Forge,Atlético Ottawa,4,0,FINISHED,Hamilton Stadium
